Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,Host Community_PiN,IDPs_PiN,Non-displaced Population_PiN,Refugees_PiN,Host Community_Targeted,IDPsHost Community_Targeted,Non-displaced PopulationHost Community_Targeted,RefugeesHost Community_Targeted
East Darfur,SD05,Assalaya,SD05163," 16,376 "," 5,610 "," 53,250 "," 10,766 "," 16,376 "," 2,931 "," 25,704 "," 10,766 "
East Darfur,SD05,Yassin,SD05165," 4,363 "," 65,122 "," 38,072 "," 1,344 "," 4,363 "," 45,585 "," 19,277 "," 1,344 "
Central Darfur,SD06,Azum,SD06110," 69,761 "," 75,900 ", -   ," 3,741 "," 34,881 "," 53,130 ", -   ," 3,741 "
Central Darfur,SD06,Bendasi,SD06112," 29,435 "," 29,435 "," 16,120 ", -   ," 12,442 "," 15,380 "," 13,627 ", -   
Central Darfur,SD06,Mukjar,SD06130," 25,736 "," 25,730 "," 48,372 ", 6 ," 25,736 "," 25,730 "," 23,334 ", 6 
Central Darfur,SD06,Gharb Jabal Marrah,SD06131," 42,700 "," 42,700 "," 86,654 ", -   ," 29,890 "," 29,890 "," 50,858 ", -   
Central Darfur,SD06,Shamal Jabal Marrah,SD06132," 111,818 "," 111,818 "," 6,307 ", -   ," 55,909 "," 62,019 "," 5,287 ", -   
Central Darfur,SD06,Um Dukhun,SD06135," 50,328 "," 50,328 "," 19,640 ", -   ," 20,862 "," 26,296 "," 8,856 ", -   
Central Darfur,SD06,Wadi Salih,SD06137," 54,306 "," 54,306 "," 67,176 ", -   ," 10,106 "," 28,375 "," 27,780 ", -   
Central Darfur,SD06,Zalingi,SD06138," 183,690 "," 268,763 ", -   , 532 ," 128,583 "," 241,887 ", -   , 532 
Central Darfur,SD06,Wasat Jabal Marrah,SD06139," 74,176 "," 84,830 "," 12,189 ", -   ," 37,088 "," 44,324 "," 7,435 ", -   
South Kordofan,SD07,Abu Jubayhah,SD07088," 62,544 "," 51,250 "," 38,319 "," 11,294 "," 26,397 "," 41,000 "," 17,295 "," 11,294 "
South Kordofan,SD07,Talawdi,SD07089," 16,353 "," 16,353 "," 8,191 ", -   ," 16,353 "," 16,353 "," 3,593 ", -   
South Kordofan,SD07,Abassiya,SD07090," 33,213 "," 33,213 "," 54,023 ", -   ," 16,607 "," 17,354 "," 26,333 ", -   
South Kordofan,SD07,Um Durein,SD07091, -   , -   ," 70,546 ", -   , -   , -   ," 33,786 ", -   
South Kordofan,SD07,Ar Rashad,SD07093," 20,394 "," 20,189 "," 14,608 ", 205 ," 10,197 "," 11,306 "," 11,305 ", 205 
South Kordofan,SD07,Al Quoz,SD07094," 5,464 "," 5,092 "," 49,448 ", 372 ," 5,464 "," 5,092 "," 29,327 ", 372 
South Kordofan,SD07,Dilling,SD07095," 40,898 "," 40,105 "," 75,784 ", 793 ," 20,449 "," 22,058 "," 17,580 ", 793 
South Kordofan,SD07,Heiban,SD07096, -   , -   ," 104,512 ", -   , -   , -   ," 19,685 ", -   
