Admin1 name,Admin1 pcode,Admin2 name,Admin2 pcode,People In Need,People Targeted
Gedaref,SD12,Ar Rahad,SD12084,"114,115","100,119"
North Kordofan,SD13,Um Rawaba,SD13023,"136,110","64,262"
North Kordofan,SD13,Sheikan,SD13024,"251,662","76,898"
North Kordofan,SD13,Soudari,SD13025,"142,885","23,855"
North Kordofan,SD13,Bara,SD13026,"87,685","21,881"
North Kordofan,SD13,Gebrat Al Sheikh,SD13027,"101,812","23,072"
North Kordofan,SD13,Um Dam Haj Ahmed,SD13028,"55,137","27,491"
North Kordofan,SD13,Gharb Bara,SD13029,"67,807","24,933"
North Kordofan,SD13,Ar Rahad,SD13030,"80,437","50,622"
Sennar,SD14,Abu Hujar,SD14037,"133,928","63,380"
Sennar,SD14,Sennar,SD14038,"151,691","86,659"
Sennar,SD14,Ad Dali,SD14039,"92,252","61,113"
Sennar,SD14,Ad Dinder,SD14040,"166,203","83,506"
Sennar,SD14,As Suki,SD14041,"142,434","64,422"
Sennar,SD14,Sharg Sennar,SD14042,"172,693","88,172"
Sennar,SD14,Sinja,SD14043,"124,209","62,109"
Aj Jazirah,SD15,Medani Al Kubra,SD15030,"155,042","115,160"
Aj Jazirah,SD15,Janub Aj Jazirah,SD15031,"158,803","42,761"
Aj Jazirah,SD15,Um Algura,SD15032,"134,849","75,727"
Aj Jazirah,SD15,Sharg Aj Jazirah,SD15033,"146,963","37,149"
Aj Jazirah,SD15,Al Hasahisa,SD15034,"269,705","152,110"
Aj Jazirah,SD15,Al Kamlin,SD15035,"291,484","147,185"
Aj Jazirah,SD15,Al Manaqil,SD15036,"222,762","132,788"
Aj Jazirah,SD15,Al Qurashi,SD15037,"92,132","86,159"
River Nile,SD16,Abu Hamad,SD16008,"56,200","45,065"
River Nile,SD16,Al Matama,SD16009,"191,732","79,824"
River Nile,SD16,Shendi,SD16010,"202,260","103,945"
River Nile,SD16,Ad Damar,SD16011,"219,806","91,512"
River Nile,SD16,Atbara,SD16012,"207,242","106,672"
River Nile,SD16,Barbar,SD16013,"99,472","56,744"
River Nile,SD16,Al Buhaira,SD16014,"62,304","31,152"
Northern,SD17,Halfa,SD17014,"77,152","40,907"
Northern,SD17,Delgo,SD17015,"89,520","45,332"
Northern,SD17,Al Burgaig,SD17016,"88,604","15,004"
Northern,SD17,Dongola,SD17017,"105,567","56,202"
Northern,SD17,Al Golid,SD17018,"80,620","12,757"
Northern,SD17,Ad Dabbah,SD17019,"157,485","75,537"
Northern,SD17,Merwoe,SD17020,"147,552","63,996"
West Kordofan,SD18,Ghubaish,SD18021,"82,222","58,376"
West Kordofan,SD18,An Nuhud,SD18022,"156,696","75,850"
West Kordofan,SD18,Abu Zabad,SD18028,"44,151","24,000"
West Kordofan,SD18,Wad Bandah,SD18029,"52,701","26,608"
West Kordofan,SD18,Keilak,SD18085,"50,732","45,975"
West Kordofan,SD18,As Salam - WK,SD18086,"52,484","43,321"
West Kordofan,SD18,Abyei,SD18087,"74,313","37,202"
West Kordofan,SD18,As Sunut,SD18092,"57,727","38,466"
West Kordofan,SD18,Babanusa,SD18100,"49,791","45,027"
West Kordofan,SD18,Al Lagowa,SD18102,"62,752","49,634"
West Kordofan,SD18,Al Dibab,SD18103,"41,646","32,457"
West Kordofan,SD18,Al Idia,SD18104,"92,427","56,042"
West Kordofan,SD18,Al Khiwai,SD18105,"29,215","26,474"
